,stn_code,stn_name
0,S06,Paya Lebar
1,S07,"""Macritchie Reservoir"""
2,S08,"""Lower Peirce Reservoir"""
3,S101,Jurong (North)
4,S102,Semakau Island
5,S104,Admiralty
6,S105,Admiralty (West)
7,S106,Pulau Ubin
8,S107,"""East Coast Parkway"""
9,S108,Marina Barrage
10,S109,Ang Mo Kio
11,S11,"""Choa Chu Kang (West)"""
12,S110,Serangoon North
13,S111,Newton
14,S112,Lim Chu Kang
15,S113,Marine Parade
16,S114,"""Choa Chu Kang (Central)"""
17,S115,Tuas South
18,S116,Pasir Panjang
19,S117,Jurong Island
20,S118,Dhoby Ghaut
21,S119,Nicoll Highway
22,S120,Botanic Garden
23,S121,"""Choa Chu Kang (South)"""
24,S122,Khatib
25,S123,Whampoa
26,S23,Tengah
27,S24,Changi
28,S25,Seletar
29,S29,Pasir Ris (West)
30,S31,Kampong Bahru
31,S33,Jurong Pier
32,S35,Ulu Pandan
33,S36,Serangoon
34,S39,Jurong (East)
35,S40,Mandai
36,S43,Tai Seng
37,S44,Jurong (West)
38,S46,Upper Thomson
39,S50,Clementi
40,S55,Buangkok
41,S60,Sentosa Island
42,S61,Chai Chee
43,S63,Boon Lay (West)
44,S64,Bukit Panjang
45,S66,Kranji Reservoir
46,S69,"""Upper Peirce Reservoir"""
47,S71,Kent Ridge
48,S72,Tanjong Pagar
49,S77,Queenstown
50,S78,Tanjong Katong
51,S79,Somerset
52,S80,Sembawang
53,S81,Punggol
54,S82,Tuas West
55,S84,Simei
56,S86,Boon Lay (East)
57,S88,Toa Payoh
58,S89,Tuas
59,S90,Bukit Timah
60,S91,Yishun
61,S92,Buona Vista
62,S94,Pasir Ris Central
