,stn_code,station,region
0,S06,Paya Lebar,East
1,S07,Macritchie Reservoir,Central
2,S08,Lower Peirce Reservoir,North East
3,S101,Jurong (North),West
4,S102,Semakau Island,West
5,S104,Admiralty,North
6,S105,Admiralty (West),North
7,S106,Pulau Ubin,North East
8,S107,East Coast Parkway,East
9,S108,Marina Barrage,Central
10,S109,Ang Mo Kio,North
11,S11,Choa Chu Kang (West),West
12,S110,Serangoon North,North East
13,S111,Newton,Central
14,S112,Lim Chu Kang,North
15,S113,Marine Parade,Central
16,S114,Choa Chu Kang (Central),West
17,S115,Tuas South,West
18,S116,Pasir Panjang,Central
19,S117,Jurong Island,West
20,S118,Dhoby Ghaut,Central
21,S119,Nicoll Highway,Central
22,S120,Botanic Garden,Central
23,S121,Choa Chu Kang (South),West
24,S122,Khatib,North
25,S123,Whampoa,Central
26,S23,Tengah,West
27,S24,Changi,East
28,S25,Seletar,North East
29,S29,Pasir Ris (West),East
30,S31,Kampong Bahru,Central
31,S33,Jurong Pier,West
32,S35,Ulu Pandan,Central
33,S36,Serangoon,North East
34,S39,Jurong (East),West
35,S40,Mandai,North
36,S43,Tai Seng,East
37,S44,Jurong (West),West
38,S46,Upper Thomson,North East
39,S50,Clementi,West
40,S55,Buangkok,North East
41,S60,Sentosa Island,Central
42,S61,Chai Chee,East
43,S63,Boon Lay (West),West
44,S64,Bukit Panjang,West
45,S66,Kranji Reservoir,North
46,S69,Upper Peirce Reservoir,Central
47,S71,Kent Ridge,West
48,S72,Tanjong Pagar,Central
49,S77,Queenstown,Central
50,S78,Tanjong Katong,East
51,S79,Somerset,Central
52,S80,Sembawang,North
53,S81,Punggol,North East
54,S82,Tuas West,West
55,S84,Simei,East
56,S86,Boon Lay (East),West
57,S88,Toa Payoh,Central
58,S89,Tuas,West
59,S90,Bukit Timah,Central
60,S91,Yishun,North
61,S92,Buona Vista,Central
62,S94,Pasir Ris Central,East
